feature,feature_type,test,statistic,drift_score,ks_stat,cramer_v,p_value,p_threshold,drift,reference_count,incoming_count,most_shifted_value,reference_share,incoming_share,share_delta,reference_mean,incoming_mean,mean_delta,mean_shift_pct,reference_std,incoming_std,severity
age,numeric,ks_2samp,0.6417888705448189,0.6417888705448189,0.6417888705448189,,0.0,0.05,True,41188,14754,,,,,40.02406040594348,29.89433374000271,-10.129726665940769,-25.309092988567766,10.421249980934046,3.2313815151341787,Critical
marital,categorical,chi2_contingency,2729.6755413026895,0.22089532251183924,,0.22089532251183924,0.0,0.05,True,41188,14754,single,0.28085850247644945,0.5148434322895485,0.2339849298130991,,,,,,,High
job,categorical,chi2_contingency,1429.8285924218412,0.15987221580812094,,0.15987221580812094,4.41256078682987e-300,0.05,True,41188,14754,admin.,0.25303486452364765,0.2993764402873797,0.046341575763732046,,,,,,,Medium
education,categorical,chi2_contingency,747.7220614578695,0.11561151780816001,,0.11561151780816001,3.526327831680335e-157,0.05,True,41188,14754,basic.4y,0.10138875400602117,0.04059915954995256,-0.06078959445606861,,,,,,,Medium
default,categorical,chi2_contingency,655.7652866566852,0.1082692721465107,,0.1082692721465107,4.0029235025821588e-143,0.05,True,41188,14754,no,0.7912013207730407,0.8863359089060594,0.09513458813301867,,,,,,,Medium
euribor3m,numeric,ks_2samp,0.061398499274015333,0.061398499274015333,0.061398499274015333,,4.835628149216586e-36,0.05,True,41188,14754,,,,,3.6212908128581147,3.4121635488681035,-0.20912726399001125,-5.774937026528309,1.7344474048512668,1.7995010467839614,Low
cons.conf.idx,numeric,ks_2samp,0.06011092683664948,0.06011092683664948,0.06011092683664948,,1.4568929197327602e-34,0.05,True,41188,14754,,,,,-40.50260027192386,-40.953022909041614,-0.45042263711775377,-1.1120832590839453,4.628197856174544,4.676150169668432,Low
emp.var.rate,numeric,ks_2samp,0.059771328088244924,0.059771328088244924,0.059771328088244924,,3.5340252157710785e-34,0.05,True,41188,14754,,,,,0.08188550063125184,-0.08102209570286047,-0.1629075963341123,-198.9455948589977,1.5709597405170255,1.6158816235912286,Low
nr.employed,numeric,ks_2samp,0.059771328088244924,0.059771328088244924,0.059771328088244924,,3.5340252157710785e-34,0.05,True,41188,14754,,,,,5167.035910944935,5159.528033075776,-7.507877869158619,-0.1453033808659092,72.25152766826106,75.75768227364499,Low
cons.price.idx,numeric,ks_2samp,0.050017996742511284,0.050017996742511284,0.050017996742511284,,4.657903762059262e-24,0.05,True,41188,14754,,,,,93.57566436826262,93.53394604852922,-0.04171831973340545,-0.044582445676500854,0.5788400489541262,0.5820047031454911,Low
month,categorical,chi2_contingency,93.43801783573544,0.040868887323824626,,0.040868887323824626,3.31756310504374e-16,0.05,True,41188,14754,jul,0.17417694474118675,0.19554019249017215,0.021363247748985403,,,,,,,Low
contact,categorical,chi2_contingency,75.69972539229344,0.03678562655219476,,0.03678562655219476,3.3025354994723884e-18,0.05,True,41188,14754,cellular,0.6347479848499563,0.674732275992951,0.03998429114299473,,,,,,,Low
day_of_week,categorical,chi2_contingency,38.02787300925645,0.026072460791148756,,0.026072460791148756,1.1058209523703435e-07,0.05,True,41188,14754,mon,0.2067106924346897,0.19066015995662194,-0.01605053247806776,,,,,,,Low
poutcome,categorical,chi2_contingency,14.09947597292075,0.015875685666774806,,0.015875685666774806,0.0008676362599750965,0.05,True,41188,14754,nonexistent,0.8634310964358551,0.8510912294970855,-0.01233986693876965,,,,,,,Low
previous,numeric,ks_2samp,0.01233986693876965,0.01233986693876965,0.01233986693876965,,0.07255285099357844,0.05,False,41188,14754,,,,,0.17296299893172767,0.1910668293344178,0.01810383040269012,10.46688049727682,0.49490107983928966,0.521508028196707,Low
campaign,numeric,ks_2samp,0.006732023126245323,0.006732023126245323,0.006732023126245323,,0.7058325784299894,0.05,False,41188,14754,,,,,2.567592502670681,2.516809000948895,-0.05078350172178592,-1.9778645431065662,2.770013542902328,2.6767401949810417,Low
duration,numeric,ks_2samp,0.004869349415487334,0.004869349415487334,0.004869349415487334,,0.9578253764227517,0.05,False,41188,14754,,,,,258.2850101971448,260.42029280195203,2.13528260480723,0.8267156515112524,259.2792488364648,265.7120750933725,Low
pdays,numeric,ks_2samp,0.004857553884021676,0.004857553884021676,0.004857553884021676,,0.9586875860062162,0.05,False,41188,14754,,,,,962.4754540157328,957.6867968008676,-4.788657214865225,-0.49753551582905603,186.9109073447418,198.26580167921819,Low
loan,categorical,chi2_contingency,1.1297775794892795,0.004493942191283646,,0.004493942191283646,0.5684233577493881,0.05,False,41188,14754,no,0.8242692046227057,0.8203876914734987,-0.0038815131492070387,,,,,,,Low
housing,categorical,chi2_contingency,0.8430401482202129,0.0038819964539050663,,0.0038819964539050663,0.6560488186651501,0.05,False,41188,14754,no,0.4521219772749345,0.44781076318286567,-0.004311214092068805,,,,,,,Low
